Country name,Region,Happiness score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Healthy life expectancy,Freedom,Trust (Government Corruption),Generosity
Denmark,Western Europe,7.526,7.46,7.592,1.44178,1.16374,79.504,0.57941,0.44453,0.36171
Switzerland,Western Europe,7.509,7.428,7.59,1.52733,1.14524,86.303,0.58557,0.41203,0.28083
Iceland,Western Europe,7.501,7.333,7.669,1.42666,1.18326,86.733,0.56624,0.14975,0.47678
Norway,Western Europe,7.498,7.421,7.575,1.57744,1.1269,79.579,0.59609,0.35776,0.37895
Finland,Western Europe,7.413,7.351,7.475,1.40598,1.13464,81.091,0.57104,0.41004,0.25492
Canada,North America,7.404,7.335,7.473,1.44015,1.0961,82.76,0.5737,0.31329,0.44834
Netherlands,Western Europe,7.339,7.284,7.394,1.46468,1.02912,81.231,0.55211,0.29927,0.47416
New Zealand,Australia and New Zealand,7.334,7.264,7.404,1.36066,1.17278,83.096,0.58147,0.41904,0.49401
Australia,Australia and New Zealand,7.313,7.241,7.385,1.44443,1.10476,85.12,0.56837,0.32331,0.47407
Sweden,Western Europe,7.291,7.227,7.355,1.45181,1.08764,83.121,0.58218,0.40867,0.38254
Israel,Middle East and Northern Africa,7.267,7.199,7.335,1.33766,0.99537,84.917,0.36432,0.08728,0.32288
Austria,Western Europe,7.119,7.045,7.193,1.45038,1.08383,80.565,0.54355,0.21348,0.32865
United States,North America,7.104,7.02,7.188,1.50796,1.04782,77.9,0.48163,0.14868,0.41077
Costa Rica,Latin America and Caribbean,7.087,6.999,7.175,1.06879,1.02152,76.146,0.55225,0.10547,0.22553
Puerto Rico,Latin America and Caribbean,7.039,6.794,7.284,1.35943,1.08113,77.758,0.46823,0.12275,0.22202
Germany,Western Europe,6.994,6.93,7.058,1.44787,1.09774,81.487,0.53466,0.28551,0.30452
Brazil,Latin America and Caribbean,6.952,6.875,7.029,1.08754,1.03938,61.415,0.40425,0.14166,0.15776
Belgium,Western Europe,6.929,6.861,6.997,1.42539,1.05249,81.959,0.51354,0.26248,0.2424
